district_id,districts
295,Kasaragod
296,Thiruvananthapuram
297,Kannur
298,Kollam
299,Wayanad
300,Pathanamthitta
301,Alappuzha
302,Malappuram
303,Thrissur
304,Kottayam
305,Kozhikode
306,Idukki
307,Ernakulam
308,Palakkad
